Interval=	0.04 s		
ExcelDateTime=	4.23E+04	45:38.2	
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	BP	ECG	Integrated MSNA
Range=	5.000 V	100.00 mV	2.000 V
UnitName=	mmHg	*	*
TopValue=	500	*	*
BottomValue=	-500	*	*
275.48	83.78125	-0.1844531	-0.03994219
275.52	81.18086	-0.1789063	-0.03864219
275.56	77.70937	-0.09929687	-0.002971875
275.6	74.98867	-0.1230469	-0.002096875
275.64	73.28593	-0.2175	0.007153125
275.68	71.81797	0.4280469	-0.00104375
275.72	70.41328	-0.07304687	-0.0144625
275.76	69.05235	-0.2048438	-0.02562812
275.8	68.22929	-0.1707031	-0.04459375
275.84	66.61992	-0.1314062	-0.05404531
275.88	70.58516	-0.01570313	-0.01954062
275.92	106.9629	0.119375	-0.0110875
275.96	125.2629	-0.04734375	0.006509375
276	105.0766	-0.224375	-0.00256875
276.04	95.44531	-0.2401562	-0.0172375
276.08	94.56797	-0.2277344	-0.000454688
276.12	93.73946	-0.2046094	-0.01242188
276.16	87.63554	-0.1920313	-0.03569219
276.2	82.14766	-0.1953125	-0.01681094
276.24	82.60313	-0.2042187	-0.02232813
276.28	83.77461	-0.2065625	-0.02531094
276.32	82.38554	-0.2216406	-0.01559844
276.36	79.30586	-0.2309375	-0.02468906
276.4	76.33242	-0.1966406	-0.03825938
276.44	73.99844	-0.1367969	-0.02390156
276.48	72.36172	-0.2474219	-0.03972187
276.52	71.07578	-0.2314844	-0.02727188
276.56	69.48555	0.4416406	-0.03942969
276.6	68.34531	-0.3082813	-0.05348438
276.64	67.4207	-0.2502344	-0.04240313
276.68	66.18086	-0.2217969	-0.03784219
276.72	65.06602	-0.1515625	-0.03215625
276.76	79.49023	0.01	-0.0400375
276.8	119.252	-0.0090625	-0.04335469
276.84	115.2098	-0.235625	-0.03475781
276.88	96.30508	-0.3202344	-0.01877031
276.92	90.57227	-0.3099219	-0.02375625
276.96	90.68125	-0.2849219	-0.02725937
277	88.19141	-0.2582031	-0.02697812
277.04	81.35469	-0.23625	-0.03156094
277.08	80.3793	-0.2413281	-0.01643125
277.12	82.9164	-0.2389844	-0.02706094
277.16	82.8457	-0.2271094	-0.04141875
277.2	79.74023	-0.1558594	-0.05858906
277.24	76.93594	-0.224375	-0.04418906
277.28	74.35117	-0.2922656	-0.05021094
277.32	72.67344	0.4723437	-0.03047656
277.36	71.44453	-0.3182812	-0.008129687
277.4	70.4875	-0.2439063	-0.01466094
277.44	69.27773	-0.2055469	-0.01583281
277.48	67.43203	-0.1551563	-0.006476563
277.52	70.47617	-0.0103125	-0.01265156
277.56	102.8207	0.069375	-0.04241094
277.6	122.6164	-0.1400781	-0.05112344
277.64	103.3391	-0.280625	-0.0436875
277.68	91.93203	-0.2857031	-0.03872813
277.72	90.73203	-0.2703125	-0.03273594
277.76	89.72656	-0.2380469	-0.01982187
277.8	83.22461	-0.2198437	-0.02374375
277.84	79.98438	-0.2210938	-0.04184844
277.88	82.11601	-0.2192969	-0.03522344
277.92	83.24727	-0.2229687	-0.03738906
277.96	80.42149	-0.175	-0.02300156
278	77.24414	-0.1184375	-0.02294062
278.04	74.63359	-0.2378906	-0.002357812
278.08	72.65781	-0.1914062	-0.0242875
278.12	71.38086	0.45625	-0.0215625
278.16	69.85664	-0.2863281	0.004590625
278.2	68.66914	-0.2332031	-0.001907812
278.24	67.48125	-0.2066406	-0.02161094
278.28	66.43672	-0.1328906	-0.01877813
278.32	84.125	0.02804688	-0.00709375
278.36	123.027	-0.006015625	0.008034375
278.4	114.8211	-0.2467187	0.00363125
278.44	97.27617	-0.3201562	-0.00360625
278.48	92.4418	-0.3192969	-0.000676563
278.52	92.56289	-0.30375	0.007635938
278.56	89.75742	-0.2833594	-0.000798438
278.6	82.51914	-0.2707031	-0.01514844
278.64	80.45781	-0.266875	-0.01007344
278.68	82.32422	-0.2727344	-0.02600625
278.72	82.74453	-0.2773438	-0.0165
278.76	79.63906	-0.275	0.002246875
278.8	76.46523	-0.2759375	-0.003132813
278.84	74.01406	-0.2260937	-0.01354687
278.88	72.00703	-0.1775781	-0.007003125
278.92	70.43047	-0.2825781	0.000309375
278.96	68.93164	-0.158125	-0.01645
279	67.54336	0.3857031	-0.003810937
279.04	66.325	-0.3005469	0.01294687
279.08	65.63281	-0.2552344	0.01350625
279.12	64.38008	-0.2201562	0.02645
279.16	64.44336	-0.1415625	0.03429063
279.2	87.40625	0.03132812	0.01440469
279.24	124.05	-0.004453125	0.002839062
279.28	111.3027	-0.2296875	-0.0095125
279.32	94.45274	-0.2953125	-0.03538906
279.36	90.16211	-0.2810156	-0.03785625
279.4	89.95625	-0.251875	-0.03455469
279.44	87.03125	-0.2348438	-0.01290625
279.48	80.44727	-0.2195313	-0.01622969
279.52	79.13594	-0.2178125	-0.007153125
279.56	80.63828	-0.2176563	-0.0228125
279.6	80.4668	-0.2159375	-0.009192187
279.64	77.70781	-0.2177344	-0.009553125
279.68	74.68282	-0.2120312	-0.01158438
279.72	72.30469	-0.1392187	-0.02897969
279.76	70.39805	-0.1667969	-0.0521375
279.8	69.04688	-0.2438281	-0.02817656
279.84	67.74258	0.3842187	-0.02209063
279.88	66.24258	-0.1497656	-0.04742344
279.92	65.06914	-0.2246094	-0.01029844
279.96	64.30312	-0.193125	-0.02002813
280	62.82969	-0.1475781	-0.0423
280.04	64.36719	-0.0253125	-0.0083625
280.08	92.53984	0.09601563	-0.009585938
280.12	120.7469	-0.0628125	-0.01461563
280.16	103.3934	-0.2389062	0.0071375
280.2	87.98828	-0.2575781	0.01442656
280.24	84.85742	-0.2350781	0.02002344
280.28	84.83321	-0.2122656	0.03265469
280.32	80.41563	-0.1897656	0.02556094
280.36	76.22188	-0.1846094	0.003421875
280.4	77.61015	-0.1878906	0.01465312
280.44	79.48672	-0.1820313	-0.001504688
280.48	77.76328	-0.1276562	-0.009010938
280.52	74.48047	-0.09125	-0.02552344
280.56	71.84883	-0.2072656	-0.04165469
280.6	70.55703	-0.07859375	-0.05067656
280.64	68.92422	0.3704688	-0.05308437
280.68	67.85313	-0.2161719	-0.06440469
280.72	66.89258	-0.1655469	-0.06350781
280.76	65.20117	-0.130625	-0.04764531
280.8	64.19727	-0.05140625	-0.05232188
280.84	78.5375	0.1064062	-0.06169531
280.88	116.2754	0.03171875	-0.04830625
280.92	111.9523	-0.1947656	-0.02977656
280.96	92.90078	-0.2526562	-0.01793438
281	85.925	-0.2422656	0.01486719
281.04	85.64062	-0.2167187	0.09605469
