Interval=	0.04 s
ExcelDateTime=	4.3787678749791849e+04	11/18/19 16:17:23.982016
TimeFormat=	StartOfFile
DateFormat=	
ChannelTitle=	Fino. BP	ECG	Int MSNA Iowa
Range=	10.000 V	100.00 mV	10.000 V
UnitName=	mmHg	*	*
TopValue=	1000.00	*	*
BottomValue=	-1000.00	*	*
7510.649094	68.76287	-0.7724609	0.9943282
7510.689094	67.9734	-1.756055	1.073055
7510.729094	67.58414	-1.876563	1.155539
7510.769094	66.90952	-1.863281	1.130055
7510.809094	66.31588	-1.82832	1.087641
7510.849094	66.67349	-1.794141	1.059523
7510.889094	83.84519	-1.756055	1.052031
7510.929094	108.749	-1.625	1.023336
7510.969094	111.1327	-1.564258	1.023773
7511.009094	107.907	-1.750195	1.024461
7511.049094	103.735	-1.823633	0.9977734
7511.089094	104.1007	-1.857422	0.9871328
7511.129094	103.5754	-1.863281	0.9902657
7511.169094	96.35211	-1.840234	0.9945937
7511.209094	92.95506	-1.808398	1.004625
7511.249094	92.57199	-1.819922	1.004016
7511.289094	90.95924	-1.839258	1.006539
7511.329094	88.95811	-1.844531	1.007781
7511.369094	86.01615	-1.829102	0.9854063
7511.409094	83.25571	-1.802734	0.9768906
7511.449094	80.2292	-1.807422	0.9494765
7511.489094	78.57631	-1.828906	0.9400468
7511.529094	76.49807	-1.827148	0.9686719
7511.569094	76.08311	-1.805859	0.9837109
7511.609094	74.78885	-1.785742	0.978625
7511.649094	73.97631	-1.792383	0.9732656
7511.689094	72.44729	-1.813672	0.9725703
7511.729094	71.19881	-1.781055	0.9825468
7511.769094	69.73125	-1.678906	0.9613281
7511.809094	68.96571	-1.763672	1.006781
7511.849094	67.62619	-1.841211	0.9858984
7511.889094	67.12154	-1.068555	1.021906
7511.929094	66.33535	-1.620313	1.015453
7511.969094	65.63539	-1.876172	1.063703
7512.009094	65.07592	-1.863086	1.075945
7512.049094	64.58481	-1.862109	1.075242
7512.089094	63.24869	-1.861914	1.073469
7512.129094	67.99592	-1.800977	1.040414
7512.169094	92.73295	-1.659766	1.005039
7512.209094	106.2124	-1.563281	0.9867344
7512.249094	103.9256	-1.761328	0.9938359
7512.289094	98.40562	-1.874414	1.032227
7512.329094	93.93025	-1.887891	0.9969844
7512.369094	94.17142	-1.841602	0.9732735
7512.409094	89.02547	-1.819336	0.952961
7512.449094	86.23242	-1.829297	0.9459297
7512.489094	87.31271	-1.849219	0.9557109
7512.529094	87.86858	-1.842773	0.9638515
7512.569094	86.5135	-1.811133	0.952914
7512.609094	83.75955	-1.80625	0.9381563
7512.649094	80.36217	-1.81582	0.9615625
7512.689094	77.22162	-1.833398	0.9511485
7512.729094	74.825	-1.824609	0.9843047
7512.769094	73.18517	-1.792383	0.966625
7512.809094	72.86084	-1.781836	1.007641
7512.849094	72.33713	-1.784375	1.025289
7512.889094	70.97646	-1.723438	1.019117
7512.929094	70.32974	-1.791406	1.009664
7512.969094	69.07504	-1.801953	1.043852
7513.009094	67.87088	-1.142188	1.065203
7513.049094	66.62283	-1.467969	1.069719
7513.089094	65.83904	-1.872461	1.056719
7513.129094	65.07592	-1.875781	1.109203
7513.169094	64.31867	-1.837695	1.19793
7513.209094	63.9735	-1.818359	1.18257
7513.249094	69.90981	-1.791406	1.179672
7513.289094	95.23342	-1.687305	1.156383
7513.329094	107.5171	-1.556641	1.148414
7513.369094	105.4636	-1.701953	1.115047
7513.409094	100.5995	-1.823633	1.073023
7513.449094	97.76936	-1.859375	1.034219
7513.489094	98.1003	-1.866406	1.017211
7513.529094	93.83842	-1.831055	1.005539
7513.569094	88.68418	-1.801367	1.007133
7513.609094	88.4216	-1.805664	0.9983907
7513.649094	88.21188	-1.82168	0.9921953
7513.689094	86.72678	-1.826172	0.9882578
7513.729094	84.07227	-1.798242	1.046625
7513.769094	80.51682	-1.783594	1.004117
7513.809094	77.99004	-1.775977	1.005531
7513.849094	75.32443	-1.799023	1.015563
7513.889094	73.75699	-1.807422	1.036016
7513.929094	72.51678	-1.785352	1.007703
7513.969094	71.69463	-1.759961	1.00318
7514.009094	70.88375	-1.77168	0.9783437
7514.049094	69.52965	-1.761523	0.9806094
7514.089094	68.37698	-1.7	0.9898047
7514.129094	67.39021	-1.764453	0.977289
7514.169094	66.20187	-1.786133	1.014047
7514.209094	65.46203	-1.155859	1.033633
7514.249094	64.5761	-1.493945	1.001195
7514.289094	63.63467	-1.889844	1.024711
7514.329094	63.42498	-1.866406	1.035984
7514.369094	62.24588	-1.836719	1.036969
7514.409094	61.58463	-1.828906	1.024781
7514.449094	68.38902	-1.792578	1.010219
7514.489094	94.50752	-1.682031	1.024016
7514.529094	105.9544	-1.555664	1.019555
7514.569094	103.9416	-1.705078	1.030531
7514.609094	98.26635	-1.846875	1.036766
7514.649094	96.26746	-1.878125	1.014289
7514.689094	96.45879	-1.876367	0.9929375
7514.729094	92.09018	-1.832813	1.013617
7514.769094	87.23818	-1.817969	1.016219
7514.809094	86.83938	-1.84375	1.024078
7514.849094	87.22006	-1.859766	1.013445
7514.889094	86.27748	-1.839258	1.012867
7514.929094	83.45647	-1.817188	0.9896016
7514.969094	80.00172	-1.807617	0.9812656
7515.009094	76.94293	-1.825586	0.9689844
7515.049094	74.84141	-1.83457	0.9990312
7515.089094	73.21811	-1.833398	1.035125
7515.129094	72.46145	-1.803125	1.020266
7515.169094	71.75481	-1.796875	1.020922
7515.209094	70.80553	-1.760742	0.9911953
7515.249094	69.93021	-1.747656	0.9867422
7515.289094	69.12121	-1.81875	0.9932656
7515.329094	67.60928	-1.886719	0.9806797
7515.369094	66.8574	-0.8001953	1.00168
7515.409094	65.61535	-1.774023	1.045016
7515.449094	65.18486	-1.89375	1.081469
7515.489094	64.96172	-1.876172	1.067219
7515.529094	63.72297	-1.832617	1.106273
7515.569094	63.48299	-1.801172	1.09132
7515.609094	70.91072	-1.755078	1.067
7515.649094	95.8926	-1.645117	1.066633
7515.689094	104.2335	-1.623438	1.096016
7515.729094	101.4727	-1.779102	1.048437
7515.769094	95.01858	-1.84375	1.023406
7515.809094	91.50461	-1.858594	1.005875
7515.849094	90.15672	-1.848438	1.004508
7515.889094	83.99477	-1.824219	0.9935469
7515.929094	83.57977	-1.790234	0.9573985
7515.969094	84.5834	-1.811523	0.9483437
7516.009094	84.66728	-1.823438	0.9667031
7516.049094	82.78806	-1.824219	0.9608281
7516.089094	79.78742	-1.807813	0.9733907
7516.129094	76.47031	-1.771484	1.011352
7516.169094	73.38816	-1.696289	1.046742
7516.209094	71.83738	-1.750195	1.030352
7516.249094	70.47852	-1.820117	1.009953
7516.289094	69.86172	-1.824805	1.002227
